team,xG,build_up_disruption,ppda,tilt
Pachuca,1.744047619047619,3.1294229233844852,8.838095238095239,55.1923
León,1.4836111111111112,2.076185368004022,9.626666666666669,57.2581
Club Tijuana,1.398,1.1883799156286037,11.071714285714286,45.5882
Tigres UANL,1.6251111111111112,0.91002348928674,9.732888888888889,54.8387
Toluca,1.5988636363636364,0.46883577053358944,9.427272727272728,54.9754
Pumas UNAM,1.5370588235294118,0.4495056587683538,9.729117647058825,43.7908
Juárez,1.0391428571428571,0.2919536027764707,11.848285714285714,47.2727
Guadalajara,1.3863414634146345,0.10941386733753342,11.032682926829269,49.0566
Necaxa,1.1148571428571428,0.10705083847784512,10.369714285714286,48.4848
Monterrey,1.653953488372093,-0.39810468232192114,10.425581395348836,49.3671
Santos Laguna,1.701025641025641,-0.617552169712578,11.191794871794873,51.7241
América,1.7141463414634146,-0.659920718947307,9.382439024390244,58.8235
Querétaro,1.1706060606060606,-1.0002701229601116,11.627272727272729,44.3182
Puebla,1.2589473684210526,-1.0218163113841126,11.846315789473683,41.737
Atlético de San Luis,1.0997368421052631,-1.0455747470950971,13.41421052631579,45.9831
Atlas,1.2147368421052631,-1.1080053477648362,10.597631578947368,51.8131
Mazatlán,1.0742857142857145,-1.59206795713127,12.676,41.3793
Cruz Azul,1.42,-1.721835236092526,12.351052631578948,46.2249
